condition,symptoms
mitral valve disease,"shortness of breath,sharp chest pain,dizziness,irregular heartbeat,increased heart rate,nightmares"
varicocele of the testicles,"symptoms of the scrotum and testes,mass in scrotum,lower abdominal pain,pain of the anus,groin pain,infertility"
drug abuse,"anxiety and nervousness,depression,depressive or psychotic symptoms,abusing alcohol,hostile behavior,smoking problems,antisocial behavior"
hypertensive heart disease,"sharp chest pain,palpitations,heartburn,difficulty breathing,recent pregnancy"
delirium,"depressive or psychotic symptoms,problems with movement,slurring words"
schizophrenia,"anxiety and nervousness,depressive or psychotic symptoms,hostile behavior,excessive anger,hysterical behavior"
diabetic peripheral neuropathy,"leg pain,skin lesion,foot or toe pain,loss of sensation,foot or toe stiffness or tightness"
priapism,"abusing alcohol,penis pain"
schizophrenia,"anxiety and nervousness,depression,depressive or psychotic symptoms,insomnia,hostile behavior,temper problems,hysterical behavior"
panic disorder,"depression,shortness of breath,depressive or psychotic symptoms,dizziness,insomnia,abnormal involuntary movements,irregular heartbeat"
acute bronchitis,"sore throat,cough,nasal congestion,fever,difficulty breathing,coryza,congestion in chest"
fracture of the vertebra,"hip pain,hand or finger stiffness or tightness,back pain,pelvic pain,bones are painful,leg stiffness or tightness"
urinary tract infection,"retention of urine,vomiting,nausea,lower abdominal pain,blood in urine,side pain"
cornea infection,"lip swelling,foreign body sensation in eye,lacrimation,swollen eye"
kidney stone,"retention of urine,suprapubic pain,vomiting,blood in urine,back pain,low back pain,side pain"
diabetic retinopathy,"abnormal movement of eyelid,spots or clouds in vision,lacrimation"
anemia of chronic disease,"dizziness,emotional symptoms,feeling ill"
peripheral nerve disorder,"abnormal involuntary movements,leg pain,arm pain,back pain,problems with movement,loss of sensation,disturbance of memory,paresthesia,arm weakness"
drug abuse,"depressive or psychotic symptoms,abusing alcohol,hostile behavior,drug abuse,smoking problems,sweating,antisocial behavior"
pituitary disorder,"headache,hot flashes,pain in eye"
psychotic disorder,"depression,abusing alcohol,delusions or hallucinations,hysterical behavior"
bursitis,"leg pain,hip pain,arm swelling"
fracture of the ankle,"foot or toe pain,ankle pain,ankle swelling"
teething syndrome,"cough,diarrhea,symptoms of infants,fever"
laryngitis,"hoarse voice,difficulty speaking,throat feels tight,ear pain,fever,coryza"
schizophrenia,"anxiety and nervousness,depression,depressive or psychotic symptoms,insomnia,hostile behavior,excessive anger,delusions or hallucinations,temper problems,fears and phobias,low self-esteem"
degenerative disc disease,"hip pain,arm pain,back pain,neck pain,low back pain,shoulder pain,joint pain"
fracture of the pelvis,"difficulty speaking,knee pain"
sensorineural hearing loss,"dizziness,hoarse voice,diminished hearing,plugged feeling in ear,fluid in ear"
idiopathic painful menstruation,"vaginal itching,cramps and spasms,long menstrual periods,painful menstruation"
herniated disk,"arm pain,neck pain,low back pain,loss of sensation,paresthesia,arm weakness,leg weakness"
epididymitis,"swelling of scrotum,mass in scrotum,sharp abdominal pain,painful urination,lower body pain"
labyrinthitis,"dizziness,diminished hearing,vomiting,headache,plugged feeling in ear,spots or clouds in vision,sweating"
meniere disease,"dizziness,diminished hearing,headache,facial pain,ear pain"
sickle cell crisis,"sharp chest pain,leg pain,hip pain,sharp abdominal pain,vomiting,arm pain,back pain,low back pain,burning abdominal pain,knee pain"
fracture of the rib,"hip pain,bones are painful,shoulder pain,ache all over,hurts to breath"
fracture of the rib,"shortness of breath,sharp chest pain,back pain,side pain,shoulder pain,rib pain,back mass or lump,hurts to breath"
benign prostatic hyperplasia (bph),"swelling of scrotum,pain in testicles,involuntary urination,frequent urination,impotence,excessive urination at night,symptoms of bladder"
asthma,"shortness of breath,sharp chest pain,chest tightness,fever,difficulty breathing,coughing up sputum,coryza"
arthritis of the hip,"leg pain,low back pain,pelvic pain,problems with movement,ache all over,groin pain"
panic disorder,"depression,depressive or psychotic symptoms,dizziness,abnormal involuntary movements,palpitations,breathing fast"
drug reaction,"dizziness,throat swelling,vomiting,nausea,abnormal appearing skin,allergic reaction,skin rash"
urinary tract infection,"retention of urine,vomiting,nausea,painful urination,frequent urination,fever"
tendinitis,"leg pain,hip pain,wrist pain,hand or finger swelling,arm pain,ankle pain"
abdominal hernia,"symptoms of the scrotum and testes,sharp abdominal pain,lower abdominal pain,upper abdominal pain,irregular belly button"
stenosis of the tear duct,"cough,white discharge from eye"
ingrown toe nail,"abnormal appearing skin,skin growth,foot or toe pain,skin on leg or foot looks infected,swollen eye,skin dryness, peeling, scaliness, or roughness,skin on arm or hand looks infected"
infectious gastroenteritis,"sharp abdominal pain,vomiting,headache,diarrhea,decreased appetite,fever"
onychomycosis,"abnormal appearing skin,skin growth,foot or toe pain,too little hair,skin rash"
sialoadenitis,"sore throat,swollen lymph nodes,neck mass,jaw swelling"
peripheral nerve disorder,"abnormal involuntary movements,back pain,foot or toe pain,disturbance of memory,arm weakness,leg weakness"
cardiomyopathy,"shortness of breath,sharp chest pain,chest tightness,heartburn,fatigue"
conjunctivitis due to virus,"diminished vision,pain in eye,lacrimation"
hemiplegia,"abnormal involuntary movements,difficulty speaking,headache,problems with movement,weakness,loss of sensation,seizures"
fungal infection of the hair,"skin swelling,abnormal appearing skin,skin lesion,acne or pimples,skin growth,irregular appearing scalp,itching of skin,skin irritation,itchy scalp"
acute kidney injury,"shortness of breath,sharp chest pain,dizziness,retention of urine,nausea,peripheral edema,kidney mass"
injury to the trunk,"symptoms of the scrotum and testes,headache,wrist pain,neck pain,low back pain,lower body pain,rib pain"
fracture of the arm,"wrist swelling,arm swelling,wrist stiffness or tightness,elbow pain,elbow swelling"
autism,"depressive or psychotic symptoms,difficulty speaking,seizures,temper problems,long menstrual periods"
peripheral nerve disorder,"dizziness,leg pain,arm pain,problems with movement,loss of sensation,paresthesia"
induced abortion,"sharp abdominal pain,intermenstrual bleeding,pain during pregnancy,spotting or bleeding during pregnancy,groin pain"
fibromyalgia,"sharp chest pain,hip pain,arm pain,low back pain,muscle pain,ache all over"
athlete's foot,"skin swelling,abnormal appearing skin,skin lesion,foot or toe pain,irregular appearing nails,skin dryness, peeling, scaliness, or roughness"
tic (movement) disorder,"abnormal involuntary movements,abnormal movement of eyelid,problems with movement"
dislocation of the shoulder,"wrist pain,arm pain"
sebaceous cyst,"skin swelling,abnormal appearing skin,skin lesion,acne or pimples,skin growth,irregular appearing scalp,neck mass,skin moles,back mass or lump,arm lump or mass"
intestinal disease,"sharp chest pain,fainting,sharp abdominal pain,regurgitation,regurgitation.1"
celiac disease,"sharp chest pain,sharp abdominal pain,vomiting,peripheral edema,regurgitation.1"
hemorrhoids,"blood in stool,heartburn,constipation"
conjunctivitis due to virus,"cough,white discharge from eye,diminished vision,lacrimation,itchiness of eye,fever,swollen eye"
asthma,"shortness of breath,wheezing,difficulty breathing,coughing up sputum"
broken tooth,"lip swelling,toothache,dry lips,facial pain,difficulty eating,gum pain,bleeding gums"
pyelonephritis,"suprapubic pain,sharp abdominal pain,nausea,painful urination,lower abdominal pain,blood in urine,side pain"
adjustment reaction,"depression,insomnia,restlessness,excessive anger,nightmares"
marijuana abuse,"anxiety and nervousness,difficulty speaking,abusing alcohol,drug abuse,excessive anger,fears and phobias"
threatened pregnancy,"sharp abdominal pain,lower abdominal pain,intermenstrual bleeding,pelvic pain,spotting or bleeding during pregnancy,cramps and spasms,blood clots during menstrual periods,uterine contractions"
impetigo,"nasal congestion,skin swelling,abnormal appearing skin,mouth ulcer,itching of skin,skin rash"
eating disorder,"anxiety and nervousness,abusing alcohol,weight gain,decreased appetite"
iron deficiency anemia,"blood in stool,weight gain,weakness,fatigue,rectal bleeding,heavy menstrual flow"
conjunctivitis due to virus,"nasal congestion,diminished vision,pain in eye,itchiness of eye,swollen eye"
vaginitis,"painful urination,pain during intercourse,lower abdominal pain,pain during pregnancy,vaginal pain"
smoking or tobacco addiction,"shortness of breath,sharp chest pain,abusing alcohol,drug abuse,smoking problems,excessive anger,coughing up sputum,hemoptysis"
common cold,"sore throat,cough,nasal congestion,wheezing,ear pain,coryza,flu-like syndrome"
chronic pancreatitis,"abusing alcohol,nausea,diarrhea,back pain,ache all over"
developmental disability,"depressive or psychotic symptoms,lack of growth,hostile behavior,restlessness,seizures"
stroke,"depressive or psychotic symptoms,dizziness,abnormal involuntary movements,slurring words"
graves disease,"dizziness,abnormal involuntary movements,irregular heartbeat,involuntary urination,hemoptysis,sweating"
noninfectious gastroenteritis,"blood in stool,nausea,decreased appetite,chills"
sprain or strain,"hand or finger pain,wrist pain,low back pain,foot or toe pain,shoulder pain"
diverticulosis,"blood in stool,vomiting,nausea,diarrhea,lower abdominal pain,melena,rectal bleeding"
paroxysmal supraventricular tachycardia,"sharp chest pain,palpitations,irregular heartbeat,involuntary urination,weakness,increased heart rate"
fracture of the leg,"leg pain,hip pain,knee pain,knee swelling,leg swelling,leg stiffness or tightness"
ileus,"sharp abdominal pain,vomiting,nausea,lower abdominal pain"
skin pigmentation disorder,"acne or pimples,irregular appearing scalp,skin dryness, peeling, scaliness, or roughness,warts,skin rash"
neurosis,"anxiety and nervousness,drug abuse,headache,delusions or hallucinations"
cirrhosis,"shortness of breath,blood in stool,vomiting blood,peripheral edema,upper abdominal pain,abdominal distention"
abscess of the pharynx,"sharp chest pain,sore throat,cough,nasal congestion,throat swelling,difficulty in swallowing,headache"
atelectasis,"dizziness,sore throat,cough,headache"
ischemia of the bowel,"blood in stool,sharp abdominal pain,burning abdominal pain"
urinary tract infection,"nausea,frequent urination,back pain"
pleural effusion,"sharp abdominal pain,back pain,difficulty breathing,rib pain"
molluscum contagiosum,"abnormal appearing skin,acne or pimples,knee lump or mass,skin dryness, peeling, scaliness, or roughness,warts"
skin pigmentation disorder,"skin swelling,skin lesion,skin growth,skin moles,skin dryness, peeling, scaliness, or roughness,warts,skin rash"
skin cancer,"skin swelling,abnormal appearing skin,skin lesion,skin moles,skin dryness, peeling, scaliness, or roughness"
fracture of the leg,"hip pain,ankle pain,knee weakness,knee swelling,leg swelling,ankle swelling"
uterine atony,"lower abdominal pain,intermenstrual bleeding,problems during pregnancy,uterine contractions,back cramps or spasms"
hypertensive heart disease,"insomnia,palpitations,leg swelling,heartburn,fatigue"
tinnitus of unknown cause,"dizziness,hoarse voice,ear pain,plugged feeling in ear,itchy ear(s)"
social phobia,"depression,excessive appetite,excessive anger,fears and phobias"
ischemia of the bowel,"retention of urine,blood in stool,sharp abdominal pain,vomiting,nausea,burning abdominal pain"
chronic otitis media,"cough,nasal congestion,fever,pulling at ears,redness in ear,painful sinuses"
urinary tract infection,"retention of urine,suprapubic pain,vomiting,nausea,blood in urine,back pain"
bipolar disorder,"anxiety and nervousness,depressive or psychotic symptoms,abusing alcohol,obsessions and compulsions"
tracheitis,"shortness of breath,cough,nasal congestion,fever,sneezing"
lewy body dementia,"depressive or psychotic symptoms,delusions or hallucinations"
sickle cell crisis,"hip pain,sharp abdominal pain,vomiting,low back pain,burning abdominal pain,ache all over"
seborrheic dermatitis,"skin growth,irregular appearing scalp,symptoms of the face,itching of skin"
lung cancer,"shortness of breath,cough,fatigue"
vaginitis,"sharp abdominal pain,painful urination,pelvic pain,vaginal pain,vaginal redness"
delirium,"abnormal involuntary movements,difficulty speaking,problems with movement,focal weakness,disturbance of memory,delusions or hallucinations"
